State,LGA,11: Separate house,"21: Semi-detached, row or terrace house, townhouse etc. with : One storey","22: Semi-detached, row or terrace house, townhouse etc. with : Two or more storeys",31: Flat or apartment: In a one or two storey block,32: Flat or apartment: In a three storey block,33: Flat or apartment: In a four or more storey block,34: Flat or apartment: Attached to a house,91: Caravan,"92: Cabin, houseboat","93: Improved home, tent, sleepers out","94: House or flat attached to a shop, office, etc.",Z: Not stated
5: Western Australia,57000: Perenjori (S),43,0,0,0,0,0,0,8,0,0,0,0
5: Western Australia,56930: Peppermint Grove (S),56,0,19,5,36,0,0,0,0,0,0,0
5: Western Australia,56860: Nungarin (S),38,0,0,0,0,0,0,0,0,0,0,0
5: Western Australia,56790: Northampton (S),278,39,8,46,0,0,0,54,4,0,4,6
5: Western Australia,56730: Northam (S),908,54,0,68,0,0,0,5,3,0,3,5
5: Western Australia,56620: Ngaanyatjarraku (S),329,3,0,20,0,0,0,0,0,0,0,0
5: Western Australia,56580: Nedlands (C),1031,207,140,163,12,20,0,0,0,0,0,3
5: Western Australia,56460: Narrogin (S),452,76,0,14,0,0,0,0,0,0,29,4
5: Western Australia,56370: Narembeen (S),82,4,0,0,0,0,0,0,0,0,0,0
5: Western Australia,56300: Nannup (S),114,0,0,0,0,0,0,3,0,0,4,0
3: Queensland,36720: Sunshine Coast (R),17983,2429,3343,3454,1561,3070,36,273,263,13,40,229
3: Queensland,36660: Southern Downs (R),2980,425,29,276,0,3,0,42,27,8,12,40
3: Queensland,36630: South Burnett (R),2846,259,7,366,0,0,0,32,8,9,15,30
1: New South Wales,16550: Randwick (C),2016,929,1677,3888,9603,5441,50,0,3,0,324,81
1: New South Wales,16200: Parkes (A),1176,97,13,232,8,0,0,5,4,0,5,25
